Id,titre,description,service,date
1,Problème d'électricité,Salle 203 sans électricité,Service technique,2023-11-30T09:15:00
2,Fuite d'eau,Étage 4, couloir nord,Service d'entretien,2023-11-30T10:30:00
3,Problème informatique,Ordinateur de la salle des médecins ne fonctionne pas,Service informatique,2023-11-30T11:45:00
4,Incident médical,Allergie alimentaire signalée,Service médical,2023-11-30T12:30:00
5,Problème de sécurité,Porte d'urgence bloquée,Service de sécurité,2023-11-30T13:15:00
6,Panne d'ascenseur,Ascenseur bloqué entre le 2e et le 3e étage,Service technique,2023-11-30T14:00:00
7,Infiltration d'eau,Salle d'attente inondée,Service d'entretien,2023-11-30T15:15:00
8,Problème de connexion réseau,Bloc opératoire sans connexion,Service informatique,2023-11-30T16:30:00
9,Incident radiologique,Panne du scanner,Service médical,2023-11-30T17:45:00
10,Alarme incendie,Alarme déclenchée dans la cuisine,Service de sécurité,2023-11-30T18:00:00
11,Problème de climatisation,Température trop basse dans les chambres,Service technique,2023-11-30T19:15:00
12,Fuite de gaz,Salle de stockage de gaz,Service d'entretien,2023-11-30T20:30:00
13,Problème d'accès aux dossiers médicaux,Système de gestion des dossiers en panne,Service informatique,2023-11-30T21:45:00
14,Chute d'objet,Salle d'attente,Service médical,2023-11-30T22:00:00
15,Panne d'éclairage,Couloir du rez-de-chaussée sans lumière,Service technique,2023-11-30T23:15:00
16,Problème de désinfection,Équipement de désinfection hors service,Service d'entretien,2023-12-01T00:30:00
17,Incident avec un patient,Comportement agressif,Service médical,2023-12-01T01:45:00
18,Fausse alerte incendie,Alarme déclenchée par erreur,Service de sécurité,2023-12-01T02:00:00
19,Panne d'ascenseur,Ascenseur bloqué entre le 3e et le 4e étage,Service technique,2023-12-01T03:15:00
20,Fuite d'eau,Toilettes du 2e étage,Service d'entretien,2023-12-01T04:30:00
21,Problème de connexion réseau,Salle de réunion sans accès internet,Service informatique,2023-12-01T05:45:00
22,Incident médical,Chute dans le hall d'entrée,Service médical,2023-12-01T06:00:00
23,Problème de sécurité,Porte principale ne se ferme pas correctement,Service de sécurité,2023-12-01T07:15:00
24,Infiltration d'eau,Salle de stockage inondée,Service d'entretien,2023-12-01T08:30:00
25,Panne d'éclairage,Salle d'opération sans électricité,Service technique,2023-12-01T09:45:00
26,Problème de climatisation,Température trop élevée dans les bureaux,Service technique,2023-12-01T10:00:00
27,Fuite de gaz,Salle des serveurs,Service informatique,2023-12-01T11:15:00
28,Problème d'accès aux dossiers médicaux,Échec d'authentification,Service informatique,2023-12-01T12:30:00
29,Incident radiologique,Panne du rayon X,Service médical,2023-12-01T13:45:00
30,Alarme incendie,Test de l'alarme,Service de sécurité,2023-12-01T14:00:00
31,Problème informatique,Imprimante du service administratif en panne,Service informatique,2023-12-01T15:15:00
32,Chute d'objet,Salle de repos,Service médical,2023-12-01T16:30:00
33,Panne d'ascenseur,Ascenseur bloqué entre le 1er et le 2e étage,Service technique,2023-12-01T17:45:00
34,Problème de désinfection,Produit désinfectant épuisé,Service d'entretien,2023-12-01T18:00:00
35,Incident avec un patient,Refus de traitement,Service médical,2023-12-01T19:15:00
36,Fausse alerte incendie,Détecteur de fumée défectueux,Service de sécurité,2023-12-01T20:30:00
37,Panne d'ascenseur,Ascenseur bloqué entre le 4e et le 5e étage,Service technique,2023-12-01T21:45:00
38,Fuite d'eau,Toit de l'hôpital,Service d'entretien,2023-12-01T22:00:00
39,Problème de connexion réseau,Salle de conférence sans connexion internet,Service informatique,2023-12-01T23:15:00
40,Incident médical,Allergie médicamenteuse,Service médical,2023-12-02T00:30:00
41,Problème de sécurité,Accès non autorisé,Service de sécurité,2023-12-02T01:45:00
42,Infiltration d'eau,Bloc opératoire inondé,Service d'entretien,2023-12-02T02:00:00
43,Panne d'éclairage,Salles d'examens sans lumière,Service technique,2023-12-02T03:15:00
44,Problème de climatisation,Température trop basse dans la cafétéria,Service technique,2023-12-02T04:30:00
45,Fuite de gaz,Pharmacie,Service d'entretien,2023-12-02T05:45:00
46,Problème informatique,Serveur de résultats d'analyses en panne,Service informatique,2023-12-02T06:00:00
47,Chute d'objet,Salle de rééducation,Service médical,2023-12-02T07:15:00
48,Incident radiologique,Panne du scanner,Service médical,2023-12-02T08:30:00
49,Alarme incendie,Déclenchement intempestif,Service de sécurité,2023-12-02T09:45:00
50,Problème de désinfection,Équipement de désinfection hors service,Service d'entretien,2023-12-02T10:00:00
51,Panne d'ascenseur,Ascenseur bloqué entre le 2e et le 3e étage,Service technique,2023-12-02T11:15:00
52,Fuite d'eau,Toilettes du 3e étage,Service d'entretien,2023-12-02T12:30:00
53,Problème de connexion réseau,Salle de réunion sans accès internet,Service informatique,2023-12-02T13:45:00
54,Incident médical,Patient en détresse respiratoire,Service médical,2023-12-02T14:00:00
55,Problème de sécurité,Intrusion signalée,Service de sécurité,2023-12-02T15:15:00
56,Infiltration d'eau,Salle de stockage inondée,Service d'entretien,2023-12-02T16:30:00
57,Panne d'éclairage,Salle de radiologie sans lumière,Service technique,2023-12-02T17:45:00
58,Problème de climatisation,Température trop élevée dans les bureaux administratifs,Service technique,2023-12-02T18:00:00
59,Fuite de gaz,Salle des serveurs,Service informatique,2023-12-02T19:15:00
60,Problème d'accès aux dossiers médicaux,Échec d'authentification,Service informatique,2023-12-02T20:30:00
61,Incident radiologique,Panne du rayon X,Service médical,2023-12-02T21:45:00
62,Alarme incendie,Test de l'alarme,Service de sécurité,2023-12-02T22:00:00
63,Problème informatique,Imprimante du service administratif en panne,Service informatique,2023-12-02T23:15:00
64,Chute d'objet,Salle de repos,Service médical,2023-12-02T23:30:00
65,Panne d'ascenseur,Ascenseur bloqué entre le 1er et le 2e étage,Service technique,2023-12-03T00:45:00
66,Problème de désinfection,Produit désinfectant épuisé,Service d'entretien,2023-12-03T02:00:00
67,Incident avec un patient,Refus de traitement,Service médical,2023-12-03T03:15:00
68,Fausse alerte incendie,Détecteur de fumée défectueux,Service de sécurité,2023-12-03T04:30:00
69,Panne d'ascenseur,Ascenseur bloqué entre le 4e et le 5e étage,Service technique,2023-12-03T05:45:00
70,Fuite d'eau,Toit de l'hôpital,Service d'entretien,2023-12-03T06:00:00
71,Problème de connexion réseau,Salle de conférence sans connexion internet,Service informatique,2023-12-03T07:15:00
72,Incident médical,Allergie médicamenteuse,Service médical,2023-12-03T08:30:00
73,Problème de sécurité,Accès non autorisé,Service de sécurité,2023-12-03T09:45:00
74,Infiltration d'eau,Bloc opératoire inondé,Service d'entretien,2023-12-03T11:00:00
75,Panne d'éclairage,Salles d'examens sans lumière,Service technique,2023-12-03T12:15:00
76,Problème de climatisation,Température trop basse dans la cafétéria,Service technique,2023-12-03T13:30:00
77,Fuite de gaz,Pharmacie,Service d'entretien,2023-12-03T14:45:00
78,Problème informatique,Serveur de résultats d'analyses en panne,Service informatique,2023-12-03T16:00:00
79,Chute d'objet,Salle de rééducation,Service médical,2023-12-03T17:15:00
80,Incident radiologique,Panne du scanner,Service médical,2023-12-03T18:30:00
81,Alarme incendie,Déclenchement intempestif,Service de sécurité,2023-12-03T19:45:00
82,Problème de désinfection,Équipement de désinfection hors service,Service d'entretien,2023-12-03T21:00:00
83,Panne d'ascenseur,Ascenseur bloqué entre le 2e et le 3e étage,Service technique,2023-12-03T22:15:00
84,Fuite d'eau,Toilettes du 3e étage,Service d'entretien,2023-12-03T23:30:00
85,Problème de connexion réseau,Salle de réunion sans accès internet,Service informatique,2023-12-03T23:45:00
86,Incident médical,Patient en détresse respiratoire,Service médical,2023-12-04T01:00:00
